InvoiceNo,CustomerID,OrderDate,Revenue,OrderMonth,FirstOrder,IsNew
536562,13468,2010-12-01 15:08:00,308.65000000000003,2010-12-01,2010-12-01 15:08:00,True
536563,17760,2010-12-01 15:08:00,172.54,2010-12-01,2010-12-01 15:08:00,True
536564,13468,2010-12-01 15:08:00,51.4,2010-12-01,2010-12-01 15:08:00,False
536566,16928,2010-12-01 15:21:00,116.25,2010-12-01,2010-12-01 15:21:00,True
536567,16048,2010-12-01 15:27:00,251.40000000000003,2010-12-01,2010-12-01 15:27:00,True
536568,16048,2010-12-01 15:28:00,5.04,2010-12-01,2010-12-01 15:27:00,False
536569,16274,2010-12-01 15:35:00,357.95,2010-12-01,2010-12-01 15:35:00,True
536570,14496,2010-12-01 15:35:00,304.34000000000003,2010-12-01,2010-12-01 15:35:00,True
536571,14696,2010-12-01 15:37:00,294.62,2010-12-01,2010-12-01 15:37:00,True
536572,16539,2010-12-01 15:40:00,442.34999999999997,2010-12-01,2010-12-01 15:40:00,True
536573,17025,2010-12-01 15:45:00,143.12,2010-12-01,2010-12-01 15:45:00,True
536574,17025,2010-12-01 15:46:00,17.85,2010-12-01,2010-12-01 15:45:00,False
536575,13777,2010-12-01 16:01:00,1552.98,2010-12-01,2010-12-01 16:01:00,True
536576,13777,2010-12-01 16:11:00,2558.42,2010-12-01,2010-12-01 16:01:00,False
536577,13777,2010-12-01 16:13:00,497.0,2010-12-01,2010-12-01 16:01:00,False
536578,17690,2010-12-01 16:15:00,279.6,2010-12-01,2010-12-01 16:15:00,True
536579,13777,2010-12-01 16:16:00,315.96000000000004,2010-12-01,2010-12-01 16:01:00,False
536580,17690,2010-12-01 16:17:00,97.19999999999999,2010-12-01,2010-12-01 16:15:00,False
536581,13777,2010-12-01 16:19:00,330.0,2010-12-01,2010-12-01 16:01:00,False
536582,12947,2010-12-01 16:21:00,304.04,2010-12-01,2010-12-01 16:21:00,True
536583,13777,2010-12-01 16:21:00,198.0,2010-12-01,2010-12-01 16:01:00,False
536584,13777,2010-12-01 16:22:00,1132.8000000000002,2010-12-01,2010-12-01 16:01:00,False
536585,17460,2010-12-01 16:24:00,19.9,2010-12-01,2010-12-01 16:24:00,True
536586,18229,2010-12-01 16:25:00,344.2,2010-12-01,2010-12-01 16:25:00,True
536587,14142,2010-12-01 16:33:00,311.81,2010-12-01,2010-12-01 16:33:00,True
536588,17069,2010-12-01 16:49:00,277.05,2010-12-01,2010-12-01 16:49:00,True
536590,13065,2010-12-01 16:52:00,205.86,2010-12-01,2010-12-01 16:52:00,True
536591,14606,2010-12-01 16:57:00,198.32,2010-12-01,2010-12-01 16:57:00,True
536593,16835,2010-12-01 17:15:00,81.75,2010-12-01,2010-12-01 17:15:00,True
536594,15235,2010-12-01 17:22:00,79.5,2010-12-01,2010-12-01 17:22:00,True
536595,13576,2010-12-01 17:24:00,349.15,2010-12-01,2010-12-01 17:24:00,True
536597,18011,2010-12-01 17:35:00,102.78999999999999,2010-12-01,2010-12-01 17:35:00,True
536598,13090,2010-12-02 07:48:00,160.6,2010-12-01,2010-12-02 07:48:00,True
536599,15694,2010-12-02 07:49:00,306.4,2010-12-01,2010-12-02 07:49:00,True
536600,17850,2010-12-02 08:32:00,251.62,2010-12-01,2010-12-01 08:26:00,False
536601,17850,2010-12-02 08:33:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536602,17850,2010-12-02 08:34:00,163.76,2010-12-01,2010-12-01 08:26:00,False
536603,17850,2010-12-02 08:40:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536604,14741,2010-12-02 08:43:00,184.5,2010-12-01,2010-12-02 08:43:00,True
536605,13715,2010-12-02 08:52:00,272.65000000000003,2010-12-01,2010-12-02 08:52:00,True
536607,17732,2010-12-02 09:29:00,303.97,2010-12-01,2010-12-02 09:29:00,True
536608,12855,2010-12-02 09:37:00,38.1,2010-12-01,2010-12-02 09:37:00,True
536609,17850,2010-12-02 09:41:00,244.46,2010-12-01,2010-12-01 08:26:00,False
536610,17850,2010-12-02 09:42:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536611,15752,2010-12-02 09:43:00,259.65000000000003,2010-12-01,2010-12-02 09:43:00,True
536612,17850,2010-12-02 09:44:00,206.76,2010-12-01,2010-12-01 08:26:00,False
536613,17855,2010-12-02 09:44:00,208.97,2010-12-01,2010-12-02 09:44:00,True
536614,17850,2010-12-02 09:44:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536615,14047,2010-12-02 10:09:00,286.92,2010-12-01,2010-12-02 10:09:00,True
536616,17925,2010-12-02 10:10:00,244.08,2010-12-01,2010-12-02 10:10:00,True
536617,13941,2010-12-02 10:17:00,1095.12,2010-12-01,2010-12-02 10:17:00,True
536618,17017,2010-12-02 10:17:00,780.12,2010-12-01,2010-12-02 10:17:00,True
536619,17017,2010-12-02 10:18:00,97.19999999999999,2010-12-01,2010-12-02 10:17:00,False
536620,14135,2010-12-02 10:27:00,485.25,2010-12-01,2010-12-02 10:27:00,True
536621,13108,2010-12-02 10:35:00,350.06,2010-12-01,2010-12-02 10:35:00,True
536623,15601,2010-12-02 10:39:00,768.38,2010-12-01,2010-12-02 10:39:00,True
536624,13418,2010-12-02 10:45:00,610.64,2010-12-01,2010-12-02 10:45:00,True
536626,13418,2010-12-02 10:46:00,12.600000000000001,2010-12-01,2010-12-02 10:45:00,False
536627,15658,2010-12-02 10:53:00,306.2,2010-12-01,2010-12-02 10:53:00,True
536628,17850,2010-12-02 10:54:00,230.56,2010-12-01,2010-12-01 08:26:00,False
536629,17850,2010-12-02 10:55:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536630,17850,2010-12-02 10:56:00,244.46,2010-12-01,2010-12-01 08:26:00,False
536631,17850,2010-12-02 10:58:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536632,14388,2010-12-02 11:02:00,312.8,2010-12-01,2010-12-02 11:02:00,True
536633,14901,2010-12-02 11:20:00,204.15,2010-12-01,2010-12-02 11:20:00,True
536634,18041,2010-12-02 11:21:00,193.78,2010-12-01,2010-12-02 11:21:00,True
536635,15955,2010-12-02 11:22:00,572.38,2010-12-01,2010-12-02 11:22:00,True
536636,15070,2010-12-02 11:23:00,106.2,2010-12-01,2010-12-02 11:23:00,True
536637,18041,2010-12-02 11:35:00,235.16,2010-12-01,2010-12-02 11:21:00,False
536638,16244,2010-12-02 11:41:00,1056.63,2010-12-01,2010-12-02 11:41:00,True
536639,15111,2010-12-02 11:45:00,288.5,2010-12-01,2010-12-02 11:45:00,True
536641,12748,2010-12-02 11:46:00,4.25,2010-12-01,2010-12-01 12:48:00,False
536643,14390,2010-12-02 11:57:00,223.7,2010-12-01,2010-12-02 11:57:00,True
536663,16546,2010-12-02 12:07:00,299.40000000000003,2010-12-01,2010-12-02 12:07:00,True
536667,15260,2010-12-02 12:09:00,362.5,2010-12-01,2010-12-02 12:09:00,True
536670,15260,2010-12-02 12:09:00,58.0,2010-12-01,2010-12-02 12:09:00,False
536671,13305,2010-12-02 12:10:00,136.2,2010-12-01,2010-12-02 12:10:00,True
536672,14491,2010-12-02 12:10:00,127.2,2010-12-01,2010-12-02 12:10:00,True
536673,14060,2010-12-02 12:11:00,339.84,2010-12-01,2010-12-02 12:11:00,True
536674,15923,2010-12-02 12:16:00,127.08,2010-12-01,2010-12-02 12:16:00,True
536676,16752,2010-12-02 12:18:00,207.5,2010-12-01,2010-12-02 12:18:00,True
536681,17287,2010-12-02 12:22:00,113.92,2010-12-01,2010-12-02 12:22:00,True
536685,17850,2010-12-02 12:23:00,380.46,2010-12-01,2010-12-01 08:26:00,False
536688,17850,2010-12-02 12:24:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536690,17850,2010-12-02 12:25:00,331.26,2010-12-01,2010-12-01 08:26:00,False
536693,17850,2010-12-02 12:26:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536698,15363,2010-12-02 12:28:00,326.0,2010-12-01,2010-12-02 12:28:00,True
536707,12915,2010-12-02 12:33:00,199.65,2010-12-01,2010-12-02 12:33:00,True
536732,15544,2010-12-02 12:47:00,354.54,2010-12-01,2010-12-02 12:47:00,True
536733,15738,2010-12-02 12:50:00,329.65000000000003,2010-12-01,2010-12-02 12:50:00,True
536735,17381,2010-12-02 12:58:00,211.2,2010-12-01,2010-12-02 12:58:00,True
536736,17381,2010-12-02 12:59:00,824.88,2010-12-01,2010-12-02 12:58:00,False
536738,15827,2010-12-02 13:06:00,98.18,2010-12-01,2010-12-02 13:06:00,True
536739,14180,2010-12-02 13:08:00,201.75,2010-12-01,2010-12-02 13:08:00,True
536740,15827,2010-12-02 13:08:00,92.75,2010-12-01,2010-12-02 13:06:00,False
536741,13117,2010-12-02 13:11:00,202.12,2010-12-01,2010-12-02 13:11:00,True
536742,16916,2010-12-02 13:14:00,198.08,2010-12-01,2010-12-02 13:14:00,True
536743,17964,2010-12-02 13:32:00,261.76,2010-12-01,2010-12-02 13:32:00,True
536744,14466,2010-12-02 13:36:00,379.75,2010-12-01,2010-12-02 13:36:00,True
536745,17235,2010-12-02 13:38:00,341.9,2010-12-01,2010-12-02 13:38:00,True
536746,16510,2010-12-02 13:39:00,248.1,2010-12-01,2010-12-02 13:39:00,True
536747,17802,2010-12-02 13:44:00,100.2,2010-12-01,2010-12-02 13:44:00,True
536748,15107,2010-12-02 13:45:00,116.0,2010-12-01,2010-12-02 13:45:00,True
536749,17976,2010-12-02 13:49:00,353.19,2010-12-01,2010-12-02 13:49:00,True
536750,17850,2010-12-02 14:04:00,434.8,2010-12-01,2010-12-01 08:26:00,False
536751,17850,2010-12-02 14:05:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536752,17850,2010-12-02 14:06:00,390.66,2010-12-01,2010-12-01 08:26:00,False
536753,17850,2010-12-02 14:07:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536754,14449,2010-12-02 14:09:00,210.24,2010-12-01,2010-12-02 14:09:00,True
536759,16781,2010-12-02 14:26:00,311.25,2010-12-01,2010-12-02 14:26:00,True
536761,13491,2010-12-02 14:30:00,98.9,2010-12-01,2010-12-02 14:30:00,True
536762,16186,2010-12-02 14:40:00,307.68,2010-12-01,2010-12-02 14:40:00,True
536763,17685,2010-12-02 14:42:00,452.52,2010-12-01,2010-12-02 14:42:00,True
536769,17581,2010-12-02 14:47:00,668.4,2010-12-01,2010-12-02 14:47:00,True
536771,17581,2010-12-02 14:49:00,118.38,2010-12-01,2010-12-02 14:47:00,False
536777,15732,2010-12-02 15:00:00,138.1,2010-12-01,2010-12-02 15:00:00,True
536778,13138,2010-12-02 15:03:00,193.23,2010-12-01,2010-12-02 15:03:00,True
536779,15823,2010-12-02 15:08:00,15.0,2010-12-01,2010-12-02 15:08:00,True
536781,17460,2010-12-02 15:14:00,50.400000000000006,2010-12-01,2010-12-01 16:24:00,False
536782,17567,2010-12-02 15:18:00,517.95,2010-12-01,2010-12-02 15:18:00,True
536783,15061,2010-12-02 15:19:00,4076.48,2010-12-01,2010-12-02 15:19:00,True
536784,15061,2010-12-02 15:20:00,2170.9,2010-12-01,2010-12-02 15:19:00,False
536785,15061,2010-12-02 15:22:00,2730.96,2010-12-01,2010-12-02 15:19:00,False
536786,15061,2010-12-02 15:23:00,324.0,2010-12-01,2010-12-02 15:19:00,False
536787,17850,2010-12-02 15:24:00,192.46,2010-12-01,2010-12-01 08:26:00,False
536788,15061,2010-12-02 15:25:00,75.0,2010-12-01,2010-12-02 15:19:00,False
536789,17850,2010-12-02 15:25:00,22.200000000000003,2010-12-01,2010-12-01 08:26:00,False
536790,17850,2010-12-02 15:26:00,532.01,2010-12-01,2010-12-01 08:26:00,False
536791,17850,2010-12-02 15:27:00,44.400000000000006,2010-12-01,2010-12-01 08:26:00,False
536792,15061,2010-12-02 15:28:00,30.0,2010-12-01,2010-12-02 15:19:00,False
536793,16203,2010-12-02 15:39:00,170.7,2010-12-01,2010-12-02 15:39:00,True
536794,13767,2010-12-02 15:40:00,322.8,2010-12-01,2010-12-01 10:47:00,False
536795,15640,2010-12-02 15:40:00,333.72,2010-12-01,2010-12-02 15:40:00,True
536796,15574,2010-12-02 15:46:00,375.65,2010-12-01,2010-12-02 15:46:00,True
536797,16770,2010-12-02 15:49:00,130.8,2010-12-01,2010-12-02 15:49:00,True
536798,17838,2010-12-02 15:55:00,717.1600000000001,2010-12-01,2010-12-02 15:55:00,True
536799,17228,2010-12-02 16:00:00,183.3,2010-12-01,2010-12-02 16:00:00,True
536800,14829,2010-12-02 16:12:00,236.97,2010-12-01,2010-12-02 16:12:00,True
536802,17412,2010-12-02 16:29:00,197.3,2010-12-01,2010-12-02 16:29:00,True
536803,14911,2010-12-02 16:33:00,22.5,2010-12-01,2010-12-01 14:05:00,False
536804,14031,2010-12-02 16:34:00,1714.25,2010-12-01,2010-12-02 16:34:00,True
536805,14775,2010-12-02 16:38:00,406.56,2010-12-01,2010-12-02 16:38:00,True
536806,12971,2010-12-02 16:42:00,45.12,2010-12-01,2010-12-02 16:42:00,True
536808,17659,2010-12-02 16:46:00,247.8,2010-12-01,2010-12-02 16:46:00,True
536809,15299,2010-12-02 16:48:00,1003.2,2010-12-01,2010-12-02 16:48:00,True
536810,15299,2010-12-02 16:50:00,303.96,2010-12-01,2010-12-02 16:48:00,False
536811,15299,2010-12-02 16:51:00,527.85,2010-12-01,2010-12-02 16:48:00,False
536813,15646,2010-12-02 16:59:00,189.8,2010-12-01,2010-12-02 16:59:00,True
536819,13402,2010-12-02 17:12:00,308.28000000000003,2010-12-01,2010-12-02 17:12:00,True
536821,17757,2010-12-02 17:17:00,143.45000000000002,2010-12-01,2010-12-02 17:17:00,True
536823,13011,2010-12-02 17:22:00,50.550000000000004,2010-12-01,2010-12-02 17:22:00,True
536824,13798,2010-12-02 17:24:00,408.0,2010-12-01,2010-12-02 17:24:00,True
536830,16754,2010-12-02 17:38:00,2002.4,2010-12-01,2010-12-02 17:38:00,True
536831,16029,2010-12-02 17:40:00,569.4,2010-12-01,2010-12-01 09:57:00,False
536832,16634,2010-12-02 17:41:00,164.8,2010-12-01,2010-12-02 17:41:00,True
536833,18239,2010-12-02 17:48:00,438.1,2010-12-01,2010-12-02 17:48:00,True
536834,14576,2010-12-02 17:51:00,35.400000000000006,2010-12-01,2010-12-02 17:51:00,True
536835,13145,2010-12-02 18:06:00,295.0,2010-12-01,2010-12-02 18:06:00,True
536836,18168,2010-12-02 18:08:00,263.3,2010-12-01,2010-12-02 18:08:00,True
536837,14395,2010-12-02 18:15:00,308.68,2010-12-01,2010-12-02 18:15:00,True
536838,14865,2010-12-02 18:23:00,37.2,2010-12-01,2010-12-02 18:23:00,True
536839,15093,2010-12-02 18:25:00,623.73,2010-12-01,2010-12-02 18:25:00,True
536840,12738,2010-12-02 18:27:00,155.35,2010-12-01,2010-12-02 18:27:00,True
536841,16150,2010-12-02 18:27:00,393.42,2010-12-01,2010-12-02 18:27:00,True
536842,17552,2010-12-02 18:45:00,263.62,2010-12-01,2010-12-02 18:45:00,True
536843,17552,2010-12-02 18:46:00,34.9,2010-12-01,2010-12-02 18:45:00,False
536844,14236,2010-12-02 18:49:00,189.3,2010-12-01,2010-12-02 18:49:00,True
536845,17961,2010-12-02 19:18:00,127.55,2010-12-01,2010-12-02 19:18:00,True
536846,14573,2010-12-02 19:59:00,413.1,2010-12-01,2010-12-02 19:59:00,True
536847,17135,2010-12-03 09:31:00,215.57999999999998,2010-12-01,2010-12-03 09:31:00,True
536848,13408,2010-12-03 09:39:00,534.0,2010-12-01,2010-12-01 10:39:00,False
536849,17396,2010-12-03 09:45:00,397.5,2010-12-01,2010-12-03 09:45:00,True
536851,12967,2010-12-03 09:49:00,1368.4,2010-12-01,2010-12-03 09:49:00,True
536852,12686,2010-12-03 09:51:00,89.14,2010-12-01,2010-12-03 09:51:00,True
536856,13370,2010-12-03 10:26:00,754.87,2010-12-01,2010-12-03 10:26:00,True
536857,16883,2010-12-03 10:33:00,128.03,2010-12-01,2010-12-03 10:33:00,True
536858,13520,2010-12-03 10:36:00,303.4,2010-12-01,2010-12-03 10:36:00,True
536859,12841,2010-12-03 10:43:00,294.25,2010-12-01,2010-12-03 10:43:00,True
536860,16905,2010-12-03 10:43:00,254.39999999999998,2010-12-01,2010-12-03 10:43:00,True
536861,12427,2010-12-03 10:44:00,303.5,2010-12-01,2010-12-03 10:44:00,True
536863,17967,2010-12-03 11:19:00,123.07,2010-12-01,2010-12-03 11:19:00,True
536874,16891,2010-12-03 11:35:00,232.26,2010-12-01,2010-12-03 11:35:00,True
536884,14589,2010-12-03 11:42:00,39.75,2010-12-01,2010-12-03 11:42:00,True
536890,14156,2010-12-03 11:48:00,322.2,2010-12-01,2010-12-03 11:48:00,True
536938,14680,2010-12-03 12:05:00,1680.88,2010-12-01,2010-12-03 12:05:00,True
536943,17884,2010-12-03 12:11:00,187.51,2010-12-01,2010-12-03 12:11:00,True
536944,12557,2010-12-03 12:20:00,620.0,2010-12-01,2010-12-03 12:20:00,True
536945,14083,2010-12-03 12:24:00,309.54,2010-12-01,2010-12-03 12:24:00,True
536946,13013,2010-12-03 12:28:00,841.94,2010-12-01,2010-12-03 12:28:00,True
536947,13013,2010-12-03 12:29:00,686.4,2010-12-01,2010-12-03 12:28:00,False
536954,17809,2010-12-03 12:41:00,425.0,2010-12-01,2010-12-01 09:41:00,False
536956,14210,2010-12-03 12:43:00,304.95000000000005,2010-12-01,2010-12-03 12:43:00,True
536957,17809,2010-12-03 12:43:00,791.7,2010-12-01,2010-12-01 09:41:00,False
536960,16477,2010-12-03 12:48:00,225.65,2010-12-01,2010-12-03 12:48:00,True
536967,12600,2010-12-03 12:57:00,76.5,2010-12-01,2010-12-03 12:57:00,True
536968,16013,2010-12-03 13:09:00,534.0,2010-12-01,2010-12-03 13:09:00,True
536969,16013,2010-12-03 13:10:00,528.0,2010-12-01,2010-12-03 13:09:00,False
536970,17949,2010-12-03 13:12:00,1314.0,2010-12-01,2010-12-03 13:12:00,True
536971,12779,2010-12-03 13:40:00,248.16,2010-12-01,2010-12-03 13:40:00,True
536972,16926,2010-12-03 13:42:00,230.25,2010-12-01,2010-12-03 13:42:00,True
536973,17787,2010-12-03 13:43:00,736.28,2010-12-01,2010-12-03 13:43:00,True
536974,12682,2010-12-03 13:59:00,336.24,2010-12-01,2010-12-03 13:59:00,True
536975,14911,2010-12-03 14:04:00,1705.65,2010-12-01,2010-12-01 14:05:00,False
536976,14723,2010-12-03 14:18:00,149.8,2010-12-01,2010-12-03 14:18:00,True
536977,17954,2010-12-03 14:18:00,108.78,2010-12-01,2010-12-03 14:18:00,True
536980,17819,2010-12-03 14:26:00,591.47,2010-12-01,2010-12-03 14:26:00,True
536981,14723,2010-12-03 14:26:00,101.14,2010-12-01,2010-12-03 14:18:00,False
536983,12712,2010-12-03 14:30:00,175.53,2010-12-01,2010-12-03 14:30:00,True
536984,17841,2010-12-03 14:35:00,339.54,2010-12-01,2010-12-01 14:41:00,False
536985,15373,2010-12-03 14:40:00,334.3,2010-12-01,2010-12-03 14:40:00,True
536986,16140,2010-12-03 14:40:00,124.14,2010-12-01,2010-12-03 14:40:00,True
536987,17198,2010-12-03 14:54:00,272.01,2010-12-01,2010-12-03 14:54:00,True
536988,17238,2010-12-03 15:05:00,254.39000000000001,2010-12-01,2010-12-03 15:05:00,True
536989,17238,2010-12-03 15:10:00,115.7,2010-12-01,2010-12-03 15:05:00,False
536990,12793,2010-12-03 15:14:00,131.8,2010-12-01,2010-12-03 15:14:00,True
